"label"	"lineagemut2"
"IT|Lombardy|EPI_ISL_486660|20A|B.1|2020/02/23"	"B.1"
"IT|Lombardy|EPI_ISL_486661|20A|B.1|2020/03/02"	"B.1"
"IT|Lombardy|EPI_ISL_486662|20A|B.1|2020/03/02"	"B.1"
"IT|Lombardy|EPI_ISL_486663|20B|B.1.1.29|2020/03/06"	"B.1.1.29"
"IT|Lombardy|EPI_ISL_486664|20A|B.1|2020/02/26"	"B.1"
"IT|Lombardy|EPI_ISL_486665|20A|B.1|2020/03/03"	"B.1"
"IT|Marche|EPI_ISL_417491|20A|B.1|2020/03/03"	"B.1"
"IT|Molise|EPI_ISL_457728|20B|B.1.1.29|2020/03/04"	"B.1.1.29"
"IT|PA_Trento|EPI_ISL_457700|20A|B.1|2020/03/06"	"B.1"
"IT|Rome|EPI_ISL_410545|19A|B|2020/01/29"	"Other"
"IT|Rome|EPI_ISL_410546|19A|B|2020/01/31"	"Other"
"IT|Rome|EPI_ISL_412974|19A|B|2020/01/29"	"Other"
"IT|Rome|EPI_ISL_417921|20A|B.1|2020/03/01"	"B.1"
"IT|Rome|EPI_ISL_417922|20B|B.1.1.29|2020/02/28"	"B.1.1.29"
"IT|Rome|EPI_ISL_417923|20A|B.1|2020/03/04"	"B.1"
"IT|Rome|EPI_ISL_419254|20A|B.1|2020/03/23"	"B.1"
"IT|Rome|EPI_ISL_419255|20A|B.1|2020/03/23"	"B.1"
"IT|Rome|EPI_ISL_424342|20A|B.1|2020/03/07"	"B.1"
"IT|Rome|EPI_ISL_424343|20A|B.1|2020/03/23"	"B.1"
"IT|Rome|EPI_ISL_424344|20A|B.1|2020/03/04"	"B.1"
"IT|Sardinia|EPI_ISL_457825|20B|B.1.1.29|2020/03/25"	"B.1.1.29"
"IT|Sardinia|EPI_ISL_458084|20B|B.1.1|2020/04/03"	"B.1.1"
"IT|Sardinia|EPI_ISL_458085|20B|B.1.1|2020/04/12"	"B.1.1"
"IT|Sicily|EPI_ISL_457721|20B|B.1.1.29|2020/03/12"	"B.1.1.29"
"IT|Unknown|EPI_ISL_454733|20B|B.1.1|2020/03/01"	"B.1.1"
"IT|Unknown|EPI_ISL_487276|20A|B.1|2020/04/04"	"B.1"
"IT|Valle_DAosta|EPI_ISL_457724|20B|B.1.1.29|2020/03/15"	"B.1.1.29"
