"label"	"nextclademut"
"NI|Spain|EPI_ISL_530084|20A|B.1|2020/04/30"	"20A"
"NI|Spain|EPI_ISL_539531|20A|B.1|2020/02/24"	"20A"
"NI|Switzerland|EPI_ISL_413996|20A|B.1|2020/02/24"	"20A"
"NI|Switzerland|EPI_ISL_476114|20B|B.1.1.104|2020/04/30"	"20B"
"NI|Switzerland|EPI_ISL_527917|20B|B.1.1|2020/02/26"	"20B"
"NI|Switzerland|EPI_ISL_581806|20A|B.1|2020/03/28"	"20A"
"NI|Switzerland|EPI_ISL_939672|20A|B.1|2020/04/30"	"20A"
"NI|USA|EPI_ISL_1168420|20C|B.1|2020/04/30"	"20C"
"NI|USA|EPI_ISL_420793|20C|B.1|2020/03/02"	"20C"
"NI|Wales|EPI_ISL_474755|20B|B.1.1.29|2020/04/30"	"20B"
"NI|Wuhan|EPI_ISL_402123|19A|B|2019/12/24"	"Other"
"NI|Wuhan|EPI_ISL_402125|19A|B|2019/12/31"	"Other"
"NI|Wuhan|EPI_ISL_406801|19B|A|2020/01/05"	"Other"
"NI|Wuhan|EPI_ISL_529213|19B|A|2019/12/30"	"Other"
"TN|Andalo|Ph1_RUN3_NB08|20B|B.1.1.29|2020/03/10"	"20B"
"TN|Arco|Ph1_RUN3_NB02|20A|B.1|2020/03/05"	"20A"
"TN|Besenello|Ph1_RUN3_NB10|20A|B.1|2020/03/19"	"20A"
"TN|Bocenago|Ph1_RUN2_NB11|20A|B.1|2020/03/19"	"20A"
"TN|Bolzano|Ph1_RUN3_NB04|20A|B.1|2020/03/09"	"20A"
"TN|Borgo_Valsugana|Ph1_RUN1_NB03|20A|B.1|2020/03/08"	"20A"
"TN|Borgo_Valsugana|Ph1_RUN1_NB04|20A|B.1|2020/03/08"	"20A"
"TN|Borgo_Valsugana|Ph1_RUN1_NB05|20B|B.1.1.29|2020/03/09"	"20B"
"TN|Brentonico|Ph1_RUN2_NB08|20B|B.1.1|2020/03/19"	"20B"
"TN|Caderzone_Terme|Ph1_RUN3_NB11|20A|B.1|2020/03/20"	"20A"
"TN|Canazei|Ph1_RUN1_NB12|20A|B.1|2020/03/19"	"20A"
"TN|Canazei|Ph1_RUN2_NB04|20B|B.1.1.29|2020/03/09"	"20B"
"TN|Canazei|Ph1_RUN2_NB06|20A|B.1|2020/03/09"	"20A"
"TN|Castello/Molina_di_Fiemme|Ph1_RUN3_NB06|20A|B.1|2020/03/09"	"20A"
"TN|Cavalese|Ph1_RUN1_NB21|20B|B.1.1.29|2020/03/10"	"20B"
"TN|Cavalese|Ph1_RUN2_NB05|20A|B.1|2020/03/09"	"20A"
"TN|Cavalese|Ph1_RUN2_NB21|20B|B.1.1.29|2020/03/11"	"20B"
"TN|Cavalese|Ph1_RUN3_NB07|20A|B.1|2020/03/09"	"20A"
"TN|Cembra_Lisignago|Ph1_RUN1_NB06|20A|B.1|2020/03/09"	"20A"
"TN|Cenate_Sotto|Ph1_RUN1_NB13|20A|B.1|2020/03/19"	"20A"
"TN|Cles|Ph1_RUN3_NB18|20A|B.1|2020/03/10"	"20A"
"TN|Cles|Ph1_RUN3_NB20|20A|B.1|2020/03/11"	"20A"
"TN|Codogno|Ph1_RUN3_NB12|20A|B.1|2020/03/20"	"20A"
"TN|Comano_Terme|Ph1_RUN2_NB01|20A|B.1|2020/03/07"	"20A"
"TN|Comano_Terme|Ph1_RUN3_NB03|20A|B.1|2020/03/07"	"20A"
"TN|Dro|Ph1_RUN3_NB01|20A|B.1|2020/03/02"	"20A"
"TN|Ledro|Ph1_RUN1_NB11|20B|B.1.1|2020/03/14"	"20B"
"TN|Levico_Terme|Ph1_RUN2_NB03|20A|B.1|2020/03/09"	"20A"
"TN|Male|Ph1_RUN1_NB14|20B|B.1.1.29|2020/03/19"	"20B"
"TN|Male|Ph1_RUN1_NB15|20A|B.1|2020/03/20"	"20A"
"TN|Nogaredo|Ph1_RUN2_NB09|20A|B.1|2020/03/19"	"20A"
"TN|Novella|Ph1_RUN2_NB16|20A|B.1|2020/03/21"	"20A"
"TN|Pergine_Valsugana|Ph1_RUN1_NB18|20A|B.1|2020/03/09"	"20A"
"TN|Pergine_Valsugana|Ph1_RUN1_NB22|20A|B.1|2020/03/10"	"20A"
"TN|Pergine_Valsugana|Ph1_RUN1_NB23|20A|B.1|2020/03/10"	"20A"
"TN|Pergine_Valsugana|Ph1_RUN2_NB19|20A|B.1|2020/03/10"	"20A"
"TN|Pergine_Valsugana|Ph1_RUN2_NB20|20A|B.1|2020/03/10"	"20A"
"TN|Pergine_Valsugana|Ph1_RUN2_NB24|20A|B.1|2020/03/10"	"20A"
"TN|Pergine_Valsugana|Ph1_RUN3_NB13|20A|B.1|2020/03/21"	"20A"
"TN|Pergine_Valsugana|Ph1_RUN3_NB14|20A|B.1|2020/03/21"	"20A"
"TN|Pergine_Valsugana|Ph1_RUN3_NB16|20A|B.1|2020/03/09"	"20A"
"TN|Predazzo|Ph1_RUN1_NB07|20A|B.1|2020/03/09"	"20A"
"TN|Riva_del_Garda|Ph1_RUN1_NB01|20A|B.1|2020/03/05"	"20A"
"TN|Riva_del_Garda|Ph1_RUN2_NB02|20A|B.1|2020/03/08"	"20A"
"TN|Rovereto|Ph1_RUN2_NB10|20A|B.1|2020/03/19"	"20A"
"TN|Rovereto|Ph1_RUN2_NB15|20A|B.1|2020/03/20"	"20A"
"TN|Rovereto|Ph1_RUN2_NB23|20A|B.1|2020/03/12"	"20A"
"TN|Rovereto|Ph1_RUN3_NB09|20A|B.1|2020/03/19"	"20A"
"TN|Rovereto|Ph1_RUN3_NB17|20A|B.1|2020/03/11"	"20A"
"TN|Rovereto|Ph1_RUN3_NB21|20A|B.1|2020/03/12"	"20A"
"TN|Tesero|Ph1_RUN1_NB08|20B|B.1.1|2020/03/10"	"20B"
"TN|Tesero|Ph1_RUN2_NB07|20A|B.1|2020/03/09"	"20A"
"TN|Tione_di_Trento|Ph1_RUN1_NB24|20A|B.1|2020/03/11"	"20A"
"TN|Tione_di_Trento|Ph1_RUN2_NB18|20A|B.1|2020/03/10"	"20A"
